No.,Ticker,Company,Sector,Industry,Country,Market Cap,P/E,Forward P/E,PEG,P/S,P/B,P/Cash,P/Free Cash Flow,Dividend Yield,Payout Ratio,EPS (ttm),EPS growth this year,EPS growth next year,EPS growth past 5 years,EPS growth next 5 years,Sales growth past 5 years,EPS growth quarter over quarter,Sales growth quarter over quarter,Shares Outstanding,Shares Float,Insider Ownership,Insider Transactions,Institutional Ownership,Institutional Transactions,Float Short,Short Ratio,Return on Assets,Return on Equity,Return on Investment,Current Ratio,Quick Ratio,LT Debt/Equity,Total Debt/Equity,Gross Margin,Operating Margin,Profit Margin,Performance (Week),Performance (Month),Performance (Quarter),Performance (Half Year),Performance (Year),Performance (YTD),Beta,Average True Range,Volatility (Week),Volatility (Month),20-Day Simple Moving Average,50-Day Simple Moving Average,200-Day Simple Moving Average,50-Day High,50-Day Low,52-Week High,52-Week Low,Relative Strength Index (14),Change from Open,Gap,Analyst Recom,Average Volume,Relative Volume,Price,Change,Volume,Earnings Date,Target Price,IPO Date,After-Hours Close,After-Hours Change
1,A,"Agilent Technologies, Inc.",Healthcare,Diagnostics & Research,USA,41985.59,34.8,25.9,2.49,6.64,7.66,26.66,39.57,0.61%,19.10%,3.94,71.00%,10.16%,22.90%,14.00%,8.50%,102.30%,11.90%,302,301.14,0.20%,-19.47%,90.70%,0.21%,1.63%,2.86,11.70%,24.30%,14.70%,2.2,1.7,0.51,0.51,53.90%,21.30%,19.10%,-0.33%,-14.68%,-12.01%,-10.55%,14.06%,-14.15%,1.04,4.29,4.22%,2.97%,-5.42%,-9.33%,-9.58%,-17.27%,4.40%,-23.67%,21.86%,36.63,3.05%,0.69%,,1713.45,1.25,137.06,3.76%,2143932,11/22/2021 4:30:00 PM,175.32,11/18/1999,136.9,-0.12%
2,AA,Alcoa Corporation,Basic Materials,Aluminum,USA,11702.71,26.03,8.07,,0.96,2.77,8.06,,0.70%,0.00%,2.21,85.00%,-1.80%,28.00%,,-3.70%,769.80%,31.50%,187,185.26,0.10%,-69.87%,77.80%,0.50%,6.12%,1.39,3.00%,12.10%,5.00%,1.5,0.9,0.44,0.44,24.70%,8.10%,3.50%,2.12%,-3.74%,23.57%,42.96%,218.89%,-3.66%,2.34,3.39,7.29%,5.55%,-4.23%,5.63%,27.62%,-10.83%,32.69%,-10.83%,222.93%,48.04,-1.03%,-0.05%,1.9,8130.64,0.85,57.4,-1.09%,6935883,1/19/2022 4:30:00 PM,65.3,10/18/2016,57.5,0.17%
3,AAAU,Goldman Sachs Physical Gold ETF,Financial,Exchange Traded Fund,USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.42%,-0.89%,-0.56%,-1.61%,-3.16%,-2.26%,,0.16,0.86%,0.72%,-1.72%,-1.03%,-0.99%,-4.31%,1.83%,-6.47%,6.47%,41.45,0.23%,-0.62%,,445.62,1.31,17.77,-0.39%,584853,,,8/15/2018,,
4,AAC,Ares Acquisition Corporation,Financial,Shell Companies,USA,1215,43.39,,,,1.3,1350,,,,0.22,,,,,,,,125,100,,,67.70%,0.07%,0.08%,0.27,,,,1.7,1.7,0,0,,,,-0.21%,-0.21%,-1.02%,-0.61%,,-0.21%,,0.02,0.27%,0.27%,-0.27%,-0.52%,-0.55%,-1.32%,0.21%,-2.80%,2.32%,40.43,0.21%,-0.15%,,308.54,0.11,9.72,0.05%,32932,,,3/25/2021,,
5,AACG,ATA Creativity Global,Consumer Defensive,Education & Training Services,China,50.84,,,,1.69,1.61,4.27,,,,-0.41,40.00%,-14.10%,-36.60%,25.00%,-17.20%,-61.50%,31.00%,31.19,29.64,18.70%,0.00%,17.50%,,1.14%,0.52,-17.50%,-49.20%,-48.20%,0.3,0.3,0,0,46.60%,-53.20%,-50.50%,-11.43%,46.23%,-31.11%,-50.16%,17.99%,44.79%,1.2,0.26,8.94%,21.02%,-15.83%,-5.26%,-37.81%,-47.28%,55.00%,-92.15%,55.00%,44.92,1.31%,-0.65%,1.5,650.31,0.04,1.55,0.65%,28506,11/10/2021 16:30,32.5,1/29/2008,1.52,-1.94%
6,AACI,Armada Acquisition Corp. I,Financial,Shell Companies,USA,216.03,,,,,224.09,308.62,,,,-0.02,,,,,,,,21.91,17.41,25.41%,0.00%,42.00%,239.29%,0.02%,0.05,,,,4.4,4.4,0,0,,,,0.20%,0.61%,,,,0.72%,,0.04,0.24%,0.29%,0.26%,0.68%,0.68%,-0.50%,5.57%,-0.50%,5.57%,55.52,0.00%,0.61%,,72.32,0,9.86,0.61%,3,,,11/10/2021,,
7,AACIU,Armada Acquisition Corp. I,Financial,Shell Companies,USA,,,,,,223.18,,,,,-0.09,,,,,,,,,,,,87.84%,,,0.01,,,,,,,,,,,-2.39%,-1.80%,-0.71%,,,-2.09%,,0.13,0.00%,0.58%,-2.34%,-1.71%,-1.32%,-6.74%,0.20%,-6.74%,0.61%,41.59,0.00%,-1.31%,,60.06,0.01,9.82,-1.31%,308,,,8/13/2021,,
8,AACIW,Armada Acquisition Corp. I,Financial,Shell Companies,USA,,,,,,50.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-47.91%,-48.68%,,,,-55.31%,,0.05,14.86%,7.10%,-48.65%,-49.82%,-49.82%,-62.66%,-10.63%,-62.66%,-10.63%,23.21,-16.62%,7.11%,,56.39,1.61,0.25,-10.70%,90662,,,11/11/2021,,
9,AADI,"Aadi Bioscience, Inc.",Healthcare,Biotechnology,USA,385.33,,,,3853.31,1.12,2.39,,,,-11.63,82.30%,52.60%,30.90%,,,-705.00%,,20.89,12.38,0.10%,0.00%,53.00%,-2.50%,4.98%,2.92,-134.90%,-147.00%,-14.70%,14,14,0.04,0.04,,,,-6.37%,-25.35%,-34.98%,-41.29%,-21.46%,-26.34%,1.52,1.6,9.64%,7.64%,-18.96%,-22.22%,-31.72%,-45.26%,3.73%,-64.28%,24.31%,32.53,-2.47%,-1.72%,1.6,210.74,0.92,17.79,-4.15%,193077,,48.75,8/08/2017,17.79,0.00%
10,AADR,AdvisorShares Dorsey Wright ADR ETF,Financial,Exchange Traded Fund,USA,,,,,,,,,0.31%,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.74%,-5.31%,-6.26%,-7.43%,-2.16%,-5.12%,,1.02,2.39%,1.27%,-3.18%,-3.20%,-6.33%,-6.97%,5.54%,-12.11%,5.54%,39.11,1.08%,-0.22%,,3.55,0.3,60.96,0.86%,1054,,,7/21/2010,61.01,0.08%
11,AAIC,Arlington Asset Investment Corp.,Real Estate,REIT - Mortgage,USA,106.28,,12.49,,5.26,0.56,5.01,21.69,,,-0.15,-743.40%,19.91%,7.90%,-9.37%,,-126.40%,-46.80%,31.93,30.42,3.40%,4.30%,34.80%,-0.21%,0.77%,1.64,-0.50%,-2.40%,,,,0.49,3.43,53.10%,,-23.80%,-2.93%,-5.43%,-14.47%,-14.25%,-8.56%,-5.43%,1.67,0.09,3.80%,2.37%,-5.62%,-7.38%,-13.47%,-12.89%,1.85%,-25.11%,1.85%,31.97,-0.90%,0.91%,2.7,143.06,0.47,3.31,0.00%,67119,11/09/2021 16:30,4.62,12/23/1997,3.31,0.00%
12,AAL,American Airlines Group Inc.,Industrials,Airlines,USA,10412.96,,6.42,,0.35,,0.72,,,,-3.12,-583.80%,763.20%,-29.60%,16.09%,-15.80%,105.40%,182.70%,648.56,640.96,0.50%,0.00%,56.40%,0.03%,13.40%,2.26,-8.60%,77.70%,-25.60%,1,0.9,,,57.10%,-20.90%,-19.40%,-4.05%,-13.35%,-18.50%,-23.26%,-8.91%,-12.92%,1.63,0.85,5.96%,4.65%,-12.54%,-13.06%,-22.96%,-22.75%,1.69%,-40.05%,1.69%,31.72,-0.26%,-0.63%,3,37957.59,1.35,15.64,-0.89%,51170062,1/20/2022 8:30:00 AM,18.89,12/09/2013,15.62,-0.13%
13,AAME,Atlantic American Corporation,Financial,Insurance - Life,USA,55.38,3.96,,,0.26,0.36,3.87,276.88,0.80%,3.20%,0.63,,,24.30%,,3.30%,-161.10%,6.50%,20.4,4.02,2.80%,0.00%,5.70%,,2.12%,4.34,3.30%,9.30%,7.70%,,,0.24,0.24,,8.80%,6.20%,9.65%,-13.19%,-39.17%,-38.88%,5.04%,2.04%,0.12,0.27,11.47%,10.82%,-5.62%,-23.27%,-36.14%,-42.40%,17.92%,-84.35%,17.92%,38.04,1.21%,-0.80%,,19.66,0.48,2.5,0.40%,9500,,,3/17/1980,2.41,-3.60%
